Objective,Distance [mi],Vert [ft],Area,Aspect,Map/ Trip Report,Interest Level,Done before?,Type,Skill,Strenuous,Lowest elevation,Highest elevation,Best Time of Year,Notes,Interested People
Big Jim Mountain,13,6500,Stevens Pass,E,https://webmap.onxmaps.com/backcountry/map/guidebook/route/jx06pxwjqkoe?mode=snow,,FALSE,Peak,,,1700,7500,Spring,,"Nick, Tuan"
Argonaught Peak Northeast Couloir,13,6700,Eightmile Campground,NE,https://mountainflamingo.com/2012-05-19-argonaut-peak-ne-couloir/,,FALSE,Couloir,,,2000,8300,Spring,,"Nick, Denise"
Mount Blum Cocaine (Southwest) Couloir,13,6900,Baker Lake,SW,https://www.mountaineers.org/activities/routes-places/north-cascades-national-park-cross-country-zones/mount-blum-mount-hagan,,FALSE,Couloir,,,3300,7600,Winter/Spring,,
Kyes Peak NE Couloir,20,7000,Mountain Loop Scenic Byway,NE,https://galenweld.com/blog,,FALSE,Couloir,,,2200,7000,Spring,Road to fryingpan creek must be open,Tuan
Lincoln Peak X Couloir,12,7300,Baker Lake,SW,https://cascadeclimbers.com/forum/topic/87349-tr-lincoln-peak-x-couloir-2nd-descent-782012/,,FALSE,"Couloir, Peak, Traverse",5,5,3300,9000,Winter/Spring,,
Bonanza Peak SW Peak North (Beowulf) Couloir,8,7300,Holden Village,N,,,FALSE,Couloir,,,3200,9300,Winter/Spring,Extremely Difficult,
Mount Rainier Fuhrer Thumb,12,8000,Mount Rainier National Park,SW,,,FALSE,Couloir,5,5,5400,11700,Spring,,
Mount Baker Squak Glacier,14,8500,Mount Baker,S,https://caltopo.com/m/E00EL,,TRUE,Peak,3,4,3200,10700,Spring/Summer,,"Naomi P (YASS best tree luge), Tuan"
Mount Baring Couloirs,16,8600,Baring,"NW, NE",https://havetent.com/2016/03/28/mount-baring-when-turning-around-is-still-awesome/,,FALSE,Couloir,,,800,6000,Winter,,Naomi P
Magic S tour,,8800,Cascade River Road Bridge (Marblemount Bridge),All,https://climberkyle.com/2020/06/23/the-magic-s-loop/,,FALSE,Other,,,2100,8000,Winter/Spring,,
Columbia Peak Northeast Ridge Couloir,32,10000,Mountain Loop Scenic Byway,NE,,,FALSE,Couloir,,,700,6800,Spring,,
Mantis Peak North (Distal Tendon) Couloir,,12000,North Cascades National Park,N,http://skisickness.com/post/vt440-distal-tendon-couloir,,FALSE,Couloir,,,1000,8000,Winter/Spring,Very Difficult,
Backbone Ridge Ice-elation Couloir,28,14000,Cascade River Road Bridge (Marblemount Bridge),NE,https://climberkyle.com/2020/05/27/the-isolation-traverse/,,FALSE,"Couloir, Overnight",,,2100,8800,Spring,Moderate,
Goode Mountain East Couloir,25,15000,Rainy Pass Trailhead,E,https://engineeredforadventure.com/goode-mountain-east-face-couloir/,,FALSE,Couloir,5,5,4800,9000,Spring,Extremely Difficult,
Tenpeak Mountain North Couloir,32,15000,Stevens Pass,N,https://www.whereiskylemiller.com/stevens-pass/tenpeak-mountain/,,FALSE,Couloir,,,2200,8200,Winter/Spring,,Nick
Backbone Ridge C1 Couloir,30,16000,Cascade River Road Bridge (Marblemount Bridge),N,https://turns-all-year.com/trip-reports/march-23-25-isolation-traverse-plus,,FALSE,"Couloir, Overnight",,,2100,8000,Spring,Very Difficult,
Alpine Lakes Traverse,34,19000,The Summit at Snoqualmie,N,https://www.whereiskylemiller.com/snoqualmie-pass/alpine-lakes-traverse/,,FALSE,"Couloir, Traverse, Overnight",0,0,3000,7900,Spring,,
Pearl Necklace Tour,40,20000,Cascade River Road Bridge (Marblemount Bridge),All,https://climberkyle.com/2020/05/10/the-pearl-necklace-tour/,,FALSE,Other,,,2100,8000,Winter/Spring,,
Tailgunner West Couloir,,,Baring,W,https://trailcatjim.com/tailgunner-peak-via-barclay-creek-tailgunner-pass-south-slope/,,FALSE,Couloir,,,800,6200,Winter,,
Mount Chaval East/Northeast Couloir,,,Cascade River Road Bridge (Marblemount Bridge),"NE, E",https://cascadeclimbers.com/forum/topic/102164-tr-mount-chaval-standard-western-ramp-09282018/,,FALSE,Couloir,,,2400,6500,Winter/Spring,Moderate,
Edorado Peak Southwest Couloir,,,Cascade River Road Bridge (Marblemount Bridge),SW,https://engineeredforadventure.com/eldorado-glacier/,,FALSE,Couloir,,,2100,8800,Winter/Spring,Very Difficult,Naomi P
Hidden Lake Lost Marbles Couloir,,,Cascade River Road Bridge (Marblemount Bridge),NE,https://cascadeclimbers.com/forum/topic/103349-tr-marble-creek-cirque-lost-marbles-couloir-03092020/,,FALSE,Couloir,,,2100,7000,Winter,Very Difficult,
Hurry-Up Peak Plan B Couloir,,,Cascade River Road Bridge (Marblemount Bridge),S,https://cascadecrusades.org/SkiMountaineering/hurryup/sroute/sroute2005/sroute2005.htm,,FALSE,Couloir,,,2100,7800,Winter/Spring,Difficult,
Johannesburg Mountain CJ Couloir,,,Cascade River Road Bridge (Marblemount Bridge),N,https://cascadecrusades.org/SkiMountaineering/johannesburg/cj2009/cj2009.htm,,FALSE,Couloir,,,2100,6800,Never,Extremely Difficult,
Klawatti Peak Swan Song Couloir,,,Cascade River Road Bridge (Marblemount Bridge),W,https://www.jasonhummelphotography.com/2021/06/14/klawatti-primus-austera-and-tricouni-slam/,,FALSE,Couloir,,,2100,8400,Winter/Spring,Very Difficult,
Magic Mountain Northeast Couloir,,,Cascade River Road Bridge (Marblemount Bridge),NE,https://engineeredforadventure.com/magic-mountain-ne-couloir-banana-couloir/,,FALSE,Couloir,,,2100,7500,Winter/Spring,Difficult,
Marble Needle Couloir,,,Cascade River Road Bridge (Marblemount Bridge),SW,https://www.whereiskylemiller.com/highway-20/isolation-traverse/,,FALSE,Couloir,,,2100,8300,Winter/Spring,Very Difficult,
Mount Buckner North Face Couloir,,,Cascade River Road Bridge (Marblemount Bridge),N,https://skisickness.com/2004/04/29/,,FALSE,Couloir,,,2100,9000,Winter,Extremely Difficult,
